created_at,entry_id,field1,field2,field3,latitude,longitude,elevation,status
2023-06-09T23:24:13+05:30,1,0.32258,98.50000,75.00000,,,,
2023-06-09T23:24:31+05:30,2,2.58065,98.50000,75.00000,,,,
2023-06-09T23:24:49+05:30,3,1.29032,98.50000,75.00000,,,,
2023-06-09T23:25:07+05:30,4,0.00000,98.50000,75.00000,,,,
2023-06-09T23:25:41+05:30,5,0.00000,98.50000,75.00000,,,,
2023-06-09T23:25:59+05:30,6,1.93548,98.50000,75.00000,,,,
2023-06-09T23:26:16+05:30,7,1.61290,98.50000,75.00000,,,,
2023-06-09T23:26:33+05:30,8,0.96774,98.50000,75.00000,,,,
2023-06-09T23:26:48+05:30,9,1.93548,98.50000,75.00000,,,,
2023-06-09T23:27:06+05:30,10,0.32258,98.50000,75.00000,,,,
2023-06-09T23:27:24+05:30,11,1.93548,98.50000,75.00000,,,,
2023-06-09T23:27:42+05:30,12,1.29032,98.50000,75.00000,,,,
2023-06-09T23:27:59+05:30,13,2.25806,98.50000,75.00000,,,,
2023-06-09T23:28:17+05:30,14,1.93548,98.50000,75.00000,,,,
2023-06-09T23:28:34+05:30,15,2.58065,98.50000,75.00000,,,,
2023-06-09T23:29:17+05:30,16,98.50000,75.00000,0.64516,,,,
2023-06-09T23:29:34+05:30,17,98.50000,75.00000,2.58065,,,,
2023-06-09T23:29:52+05:30,18,98.50000,75.00000,0.00000,,,,
2023-06-09T23:30:09+05:30,19,98.50000,75.00000,0.96774,,,,
2023-06-09T23:30:27+05:30,20,98.50000,75.00000,1.93548,,,,
2023-06-09T23:30:45+05:30,21,98.50000,75.00000,1.61290,,,,
2023-06-09T23:31:03+05:30,22,98.50000,75.00000,2.90323,,,,
2023-06-09T23:31:21+05:30,23,98.50000,75.00000,2.25806,,,,
2023-06-09T23:31:38+05:30,24,98.50000,75.00000,1.93548,,,,
2023-06-09T23:31:56+05:30,25,98.50000,75.00000,2.25806,,,,
2023-06-09T23:32:13+05:30,26,98.50000,75.00000,0.32258,,,,
2023-06-09T23:32:31+05:30,27,98.50000,75.00000,2.58065,,,,
2023-06-09T23:32:48+05:30,28,98.50000,75.00000,0.96774,,,,
2023-06-09T23:33:06+05:30,29,98.50000,75.00000,0.32258,,,,
2023-06-09T23:33:23+05:30,30,98.50000,75.00000,1.29032,,,,
2023-06-09T23:33:40+05:30,31,98.50000,75.00000,1.93548,,,,
2023-06-09T23:33:58+05:30,32,98.50000,75.00000,1.61290,,,,
2023-06-09T23:34:14+05:30,33,98.50000,75.00000,2.58065,,,,
2023-06-09T23:34:32+05:30,34,98.50000,75.00000,2.25806,,,,
2023-06-09T23:34:49+05:30,35,98.50000,75.00000,1.93548,,,,
2023-06-09T23:35:06+05:30,36,98.50000,75.00000,2.58065,,,,
2023-06-09T23:35:24+05:30,37,98.50000,75.00000,4.83871,,,,
2023-06-09T23:35:41+05:30,38,98.50000,75.00000,5.16129,,,,
2023-06-09T23:35:58+05:30,39,98.50000,75.00000,2.25806,,,,
2023-06-09T23:36:15+05:30,40,98.50000,75.00000,1.29032,,,,
2023-06-09T23:36:32+05:30,41,98.50000,75.00000,0.32258,,,,
2023-06-09T23:36:50+05:30,42,98.50000,75.00000,1.29032,,,,
2023-06-09T23:37:07+05:30,43,98.50000,75.00000,0.00000,,,,
2023-06-09T23:37:24+05:30,44,98.50000,75.00000,0.00000,,,,
2023-06-09T23:38:05+05:30,45,98.50000,75.00000,10.32258,,,,
2023-06-09T23:38:22+05:30,46,98.50000,75.00000,1.29032,,,,
2023-06-09T23:38:39+05:30,47,98.50000,75.00000,30.96774,,,,
2023-06-09T23:38:56+05:30,48,98.50000,75.00000,0.00000,,,,
2023-06-09T23:39:13+05:30,49,98.50000,75.00000,0.64516,,,,
2023-06-09T23:39:30+05:30,50,98.50000,75.00000,31.29032,,,,
2023-06-09T23:39:47+05:30,51,98.50000,75.00000,0.00000,,,,
2023-06-09T23:40:05+05:30,52,98.50000,75.00000,0.00000,,,,
2023-06-09T23:40:22+05:30,53,98.50000,75.00000,0.00000,,,,
2023-06-09T23:40:39+05:30,54,98.50000,75.00000,0.00000,,,,
2023-06-09T23:40:56+05:30,55,98.50000,75.00000,16.77419,,,,
2023-06-09T23:41:13+05:30,56,98.50000,75.00000,135.48387,,,,
2023-06-09T23:41:30+05:30,57,98.50000,75.00000,15.48387,,,,
2023-06-09T23:41:47+05:30,58,98.50000,75.00000,118.38709,,,,
2023-06-09T23:42:05+05:30,59,98.50000,75.00000,4.51613,,,,
2023-06-09T23:42:22+05:30,60,98.50000,75.00000,1.61290,,,,
2023-06-09T23:42:39+05:30,61,98.50000,75.00000,0.32258,,,,
